session_id,date,first_ts,last_ts,user_msgs,assistant_msgs,total_msgs,tool_calls_total,cat_explore,cat_build,cat_execute,cat_coordinate,cat_mcp,files_read,files_edited,errors,user_text_chars
b53ace38-5dda-4811-aa32-998cd416a278,2026-01-31,2026-01-31T18:56:22.844Z,2026-02-01T13:19:38.577Z,249,344,593,219,44,24,127,5,0,27,8,0,61476
70efb275-9d00-42d8-a1e0-565773f4f16a,2026-01-31,2026-01-31T19:43:14.851Z,2026-01-31T19:45:59.029Z,24,36,60,23,6,3,11,2,0,6,3,0,4085
b8e17a7c-d263-4c94-a941-dfb820449bc4,2026-01-31,2026-01-31T19:46:02.052Z,2026-01-31T19:47:58.866Z,18,29,47,17,5,4,5,3,0,4,3,0,4085
3f0351ff-1423-42e3-a08d-fa5b4d03ec93,2026-01-31,2026-01-31T19:48:02.000Z,2026-01-31T19:49:54.844Z,29,43,72,28,8,8,8,4,0,7,7,0,4085
d42b7d38-d9da-42db-be5d-ebdfdd3f2c73,2026-01-31,2026-01-31T19:49:57.899Z,2026-01-31T19:52:23.710Z,19,29,48,18,4,4,5,4,0,3,3,0,4085
7b0502d3-ea95-4f42-b252-68203be025bf,2026-01-31,2026-01-31T19:52:26.756Z,2026-01-31T19:54:29.821Z,18,22,40,17,4,3,4,5,0,3,3,0,4085
a8440bc8-ee23-4507-9634-8ea49a62701d,2026-01-31,2026-01-31T19:54:32.985Z,2026-01-31T19:57:44.500Z,25,39,64,24,5,5,8,5,0,4,5,0,4085
5281806e-9a37-4c9d-b41f-f837c48b03ea,2026-01-31,2026-01-31T19:57:47.734Z,2026-01-31T20:01:53.659Z,30,48,78,29,6,4,14,4,0,4,4,0,4085
42b0952e-1fb5-4537-b163-c4503d26d07c,2026-01-31,2026-01-31T20:01:56.899Z,2026-01-31T20:06:08.113Z,34,48,82,33,11,4,12,5,0,8,3,0,4085
09153986-7764-4388-9666-15c4bb18de15,2026-01-31,2026-01-31T20:06:11.192Z,2026-01-31T20:08:46.769Z,21,33,54,20,5,4,6,5,0,3,3,0,4085
55dba054-3124-433a-8ae3-c9cb10ac5a88,2026-01-31,2026-01-31T20:08:49.863Z,2026-01-31T20:12:43.813Z,29,45,74,28,6,4,13,4,0,5,3,0,4085
384fa4d4-583a-41c1-9642-63a7c8b5bd07,2026-01-31,2026-01-31T20:12:46.928Z,2026-01-31T20:21:00.281Z,39,60,99,38,15,4,12,4,0,9,3,0,4085
2a2a6239-0e5d-4073-a4bc-6575e53c1e39,2026-01-31,2026-01-31T20:21:03.479Z,2026-01-31T20:26:02.369Z,44,72,116,43,13,13,11,5,0,5,5,0,4085
06dd9f6e-d3b5-466f-a836-d83a397aa209,2026-01-31,2026-01-31T20:26:05.456Z,2026-01-31T20:28:30.995Z,19,28,47,18,6,3,4,5,0,5,3,0,4085
11a67e91-f49c-41f8-ad51-d29b90ce5d93,2026-01-31,2026-01-31T20:28:34.296Z,2026-01-31T20:33:13.178Z,28,41,69,27,8,7,8,4,0,5,4,0,4085
d42c0c8e-5e5b-47f0-ab45-b6d6ec972660,2026-01-31,2026-01-31T20:33:17.484Z,2026-01-31T20:37:26.028Z,41,63,104,40,14,12,7,7,0,7,5,0,4085
4d8b3b4b-9210-4353-b85c-ee0bd6ff76bb,2026-01-31,2026-01-31T20:37:29.170Z,2026-01-31T20:40:08.182Z,26,39,65,25,6,6,6,6,0,5,4,0,4085
81eea348-5ccf-496d-a769-2745f1eae308,2026-01-31,2026-01-31T20:40:11.229Z,2026-01-31T20:45:11.906Z,29,44,73,28,5,4,14,4,0,4,3,0,4085
3b74ea9d-24f2-4f7f-ac83-0da3767bdb6d,2026-01-31,2026-01-31T20:45:15.126Z,2026-01-31T20:48:27.227Z,30,47,77,29,8,7,10,4,0,5,3,0,4085
525354c6-5ab7-4edf-9d02-1f2977bbace8,2026-01-31,2026-01-31T20:48:30.307Z,2026-01-31T20:55:17.597Z,50,72,122,49,10,14,16,8,0,7,12,0,4085
292b0fb8-dff4-4f97-8cd2-30e3ff8b7c06,2026-01-31,2026-01-31T20:55:20.757Z,2026-01-31T20:58:39.425Z,34,51,85,33,9,8,11,5,0,7,4,0,4085
e951e143-4407-4b67-aa17-e1a77ce8e14d,2026-01-31,2026-01-31T21:09:25.651Z,2026-02-01T02:29:33.836Z,131,190,321,120,22,14,36,33,0,9,4,0,1974
d54f3bc0-eb36-4d02-abf0-e1059fd7fb05,2026-02-01,2026-02-01T02:13:55.309Z,2026-02-01T02:37:53.825Z,128,185,313,120,25,25,54,16,0,21,15,0,5110
1cc9dda7-6c24-4aef-8611-7ed6ce440995,2026-02-01,2026-02-01T13:21:52.004Z,2026-02-01T15:45:21.612Z,396,577,973,372,110,86,130,26,0,46,30,0,40239
5c5ea62b-20bf-497a-a92e-35e95d4745e1,2026-02-01,2026-02-01T15:45:32.597Z,2026-02-01T15:49:19.082Z,9,12,21,6,0,1,0,3,0,0,1,0,4011
68536df3-07a3-4f1b-8d37-4e16b95a7d63,2026-02-01,2026-02-01T15:49:46.135Z,2026-02-01T16:36:08.395Z,196,278,474,179,41,60,70,6,0,19,12,0,7556
cb952632-15a6-4945-82ad-e962e0b4c951,2026-02-01,2026-02-01T16:36:27.758Z,2026-02-01T16:40:22.197Z,11,17,28,8,0,2,0,3,0,0,1,0,3610
1ff5fb61-1af1-4e13-aa1a-29de096a00dc,2026-02-01,2026-02-01T16:43:11.002Z,2026-02-01T16:45:55.552Z,9,17,26,9,3,1,2,2,0,3,1,0,458
63b0b738-e754-406c-917b-c0e80f5ebce2,2026-02-01,2026-02-01T16:43:15.616Z,2026-02-01T17:07:29.935Z,164,217,381,151,38,44,46,17,0,25,23,0,9216
05c7a93b-da83-4e08-951b-898bb64582ad,2026-02-01,2026-02-01T17:00:50.032Z,2026-02-01T17:16:02.755Z,49,72,121,44,2,4,29,9,0,2,2,0,3883
713d7128-4a28-47b0-ab6c-ca61fcd3c9f8,2026-02-01,2026-02-01T17:14:58.705Z,2026-02-01T19:53:42.158Z,488,697,1185,458,56,51,313,29,0,45,37,0,38686
4a9b1088-7bdc-4d2a-b278-4e7eb06f3976,2026-02-01,2026-02-01T19:17:02.423Z,2026-02-01T19:17:18.523Z,1,3,4,0,0,0,0,0,0,0,0,0,126
17095487-9c90-4a36-b913-efe79e07b092,2026-02-01,2026-02-01T19:25:12.231Z,2026-02-01T19:47:45.703Z,51,67,118,40,11,16,13,0,0,6,9,0,1359
fe0c82d1-94e1-44bd-ac2f-9b7ee0e06dc8,2026-02-01,2026-02-01T19:35:27.523Z,2026-02-01T19:47:43.053Z,13,15,28,9,2,1,6,0,0,1,1,0,676
eca8f151-f811-448b-a387-16558c0bf4f6,2026-02-01,2026-02-01T19:57:21.089Z,2026-02-01T23:00:03.999Z,281,397,678,264,62,44,142,6,0,35,27,0,21901
e889d1ab-debd-4dde-8eac-eddd1c049e3c,2026-02-01,2026-02-01T23:01:41.078Z,2026-02-02T00:16:59.556Z,150,216,366,140,14,5,119,0,0,6,4,0,6229
20a73aeb-34b5-4940-ac3f-cf18ab01bbf8,2026-02-02,2026-02-02T00:27:01.480Z,2026-02-02T01:05:46.255Z,62,85,147,55,12,11,5,16,0,11,11,0,14263
afee6431-9e54-44d6-bcdf-e64376db6df2,2026-02-02,2026-02-02T01:10:44.481Z,2026-02-02T02:11:33.026Z,114,167,281,100,48,6,34,8,0,22,4,0,9907
669e673e-f4ca-41f5-9ac4-a4dc14fa96be,2026-02-02,2026-02-02T02:13:04.647Z,2026-02-02T02:23:16.145Z,24,34,58,21,9,2,0,3,0,8,1,0,5576
00d0127d-a4a7-494e-b74d-978224f2cc06,2026-02-02,2026-02-02T02:26:42.397Z,2026-02-02T15:04:54.212Z,123,168,291,110,22,32,45,9,0,19,14,0,6604
d3b4e810-886f-437d-9e01-b5a6e2858855,2026-02-02,2026-02-02T16:01:41.762Z,2026-02-02T16:05:35.432Z,25,37,62,23,8,1,13,0,0,7,1,0,139
14455976-9453-45be-a06d-e68c5f03e33a,2026-02-02,2026-02-02T18:26:34.058Z,2026-02-02T18:40:45.661Z,14,22,36,9,4,0,4,0,0,2,0,0,592
064019d2-d603-4a4d-9e02-e9683d792a13,2026-02-02,2026-02-02T19:51:49.672Z,2026-02-02T21:04:28.099Z,113,159,272,93,16,10,62,0,0,8,2,0,5253
2339dd08-95d0-43d8-aa1f-043bc72bf14d,2026-02-02,2026-02-02T21:06:58.627Z,2026-02-02T21:17:54.025Z,42,64,106,39,18,2,12,3,0,12,1,0,6599
b369e047-c876-41ae-8fff-0310aa852c46,2026-02-02,2026-02-02T21:23:32.039Z,2026-02-02T23:19:11.582Z,101,155,256,90,13,13,48,12,0,4,4,0,10631
59caffa5-90c1-4727-a212-4c3f14531aba,2026-02-02,2026-02-02T23:19:59.087Z,2026-02-03T13:02:45.503Z,73,103,176,66,10,0,53,0,0,4,0,0,5202
